Maskapai	Asal	Tujuan	Harga
Lion	Jakarta	Denpasar	842200
Batik	Jakarta	Denpasar	1180000
Sriwijaya	Jakarta	Denpasar	1223000
Citilink	Jakarta	Denpasar	1427600
Garuda	Jakarta	Denpasar	1709100
Lion	Denpasar	Jakarta	1442600
Batik	Denpasar	Jakarta	1195100
Citilink	Denpasar	Jakarta	1212185
Sriwijaya	Denpasar	Jakarta	1238000
Garuda	Denpasar	Jakarta	1679100
Lion	Jakarta	Surabaya	711300
Citilink	Jakarta	Surabaya	1003085
Sriwijaya	Jakarta	Surabaya	1014000
Batik	Jakarta	Surabaya	1071200
Garuda	Jakarta	Surabaya	1418700
NAM	Jakarta	Surabaya	2136600
Lion	Surabaya	Jakarta	640600
Batik	Surabaya	Jakarta	1000300
Citilink	Surabaya	Jakarta	1007335
Garuda	Surabaya	Jakarta	1378700
Sriwijaya	Surabaya	Jakarta	2406320
Lion	Jakarta	Yogyakarta	536400
Batik	Jakarta	Yogyakarta	583900
Citilink	Jakarta	Yogyakarta	723690
Sriwijaya	Jakarta	Yogyakarta	770900
Garuda	Jakarta	Yogyakarta	1081000
Wings	Jakarta	Yogyakarta	1227100
Lion	Yogyakarta	Jakarta	521400
Batik	Yogyakarta	Jakarta	548900
Sriwijaya	Yogyakarta	Jakarta	735900
Citilink	Yogyakarta	Jakarta	851400
Garuda	Yogyakarta	Jakarta	1001000
Lion	Jakarta	Padang	711300
Sriwijaya	Jakarta	Padang	1259300
Citilink	Jakarta	Padang	1331900
Batik	Jakarta	Padang	1485000
Garuda	Jakarta	Padang	1758600
Lion	Padang	Jakarta	922800
Sriwijaya	Padang	Jakarta	1214300
Batik	Padang	Jakarta	1358400
Citilink	Padang	Jakarta	1361700
Garuda	Padang	Jakarta	1668600
Lion	Jakarta	Balikpapan	954400
Batik	Jakarta	Balikpapan	1268300
Sriwijaya	Jakarta	Balikpapan	1368200
Garuda	Jakarta	Balikpapan	1910400
Lion	Balikpapan	Jakarta	989400
Sriwijaya	Balikpapan	Jakarta	1383200
Citilink	Balikpapan	Jakarta	1538300
Batik	Balikpapan	Jakarta	1769300
Garuda	Balikpapan	Jakarta	1880400
Lion	Jakarta	Makassar	1072100
Citilink	Jakarta	Makassar	1286800
Sriwijaya	Jakarta	Makassar	1539800
Batik	Jakarta	Makassar	1584000
Garuda	Jakarta	Makassar	2148000
Lion	Makassar	Jakarta	1072100
Citilink	Makassar	Jakarta	1266800
Batik	Makassar	Jakarta	1484600
Sriwijaya	Makassar	Jakarta	1519800
Sriwijaya	Makassar	Jakarta	2083000
Lion	Jakarta	Lombok	834500
Citilink	Jakarta	Lombok	1619000
Garuda	Jakarta	Lombok	3393000
Lion	Lombok	Jakarta	906500
Citilink	Lombok	Jakarta	1165095
Batik	Lombok	Jakarta	1506000
Garuda	Lombok	Jakarta	1999400
